# Super Rugby 2016 tournament points, from hhttp://www.lassen.co.nz/s14mat.php
# To reproduce, copy the table and apply the following regex replacement:
# \w+ ... \w+ .*?2016\s+\d+\s+(\w+) v (\w+)\s+\d+-\d+\s+\d+:\d+\s+(\d+)-(\d+).*
#\1,\2,\3,\4
Jaguares,Highlanders,0,5
Force,Stormers,0,5
Sharks,Cheetahs,4,0
Bulls,Sunwolves,5,0
Waratahs,Hurricanes,0,4
Crusaders,Rebels,5,0
Lions,Kings,5,0
Reds,Chiefs,0,5
Blues,Brumbies,5,0
Jaguares,Bulls,4,0
Sunwolves,Waratahs,0,5
Kings,Highlanders,0,5
Rebels,Stormers,0,5
Cheetahs,Force,4,1
Lions,Sharks,5,0
Hurricanes,Blues,4,0
Brumbies,Reds,5,0
Chiefs,Crusaders,4,0
Rebels,Force,4,1
Stormers,Cheetahs,4,1
Bulls,Lions,0,5
Brumbies,Sunwolves,5,0
Blues,Crusaders,1,4
Kings,Jaguares,5,1
Waratahs,Chiefs,4,0
Hurricanes,Highlanders,4,1
Force,Blues,1,4
Lions,Jaguares,5,0
Sharks,Kings,5,0
Bulls,Stormers,4,1
Reds,Sunwolves,4,0
Chiefs,Rebels,5,0
Crusaders,Waratahs,4,0
Jaguares,Sharks,1,4
Sunwolves,Stormers,2,2
Cheetahs,Kings,4,0
Lions,Blues,5,0
Waratahs,Bulls,5,0
Hurricanes,Reds,5,0
Rebels,Brumbies,0,4
Highlanders,Crusaders,5,0
Sunwolves,Force,0,4
Kings,Blues,0,5
Sharks,Hurricanes,4,0
Waratahs,Cheetahs,4,0
Chiefs,Highlanders,0,4
Brumbies,Bulls,4,0
Crusaders,Reds,5,0
Jaguares,Kings,5,0
Lions,Hurricanes,0,5
Stormers,Waratahs,1,4
Reds,Cheetahs,4,0
Highlanders,Brumbies,4,0
Blues,Rebels,4,1
Force,Bulls,0,5
Chiefs,Sharks,4,1
Brumbies,Crusaders,0,5
Sunwolves,Jaguares,4,0
Kings,Lions,0,5
Force,Waratahs,0,5
Stormers,Reds,4,0
Hurricanes,Chiefs,1,4
Rebels,Cheetahs,5,0
Highlanders,Sharks,1,4
Lions,Stormers,4,1
Bulls,Reds,4,0
Waratahs,Brumbies,1,4
Blues,Sharks,4,1
Rebels,Hurricanes,0,5
Cheetahs,Sunwolves,5,0
Crusaders,Jaguares,5,0
Kings,Bulls,0,5
Sharks,Lions,0,4
Reds,Highlanders,4,1
Hurricanes,Jaguares,5,0
Force,Crusaders,1,4
Stormers,Sunwolves,5,0
Chiefs,Blues,5,1
Waratahs,Rebels,1,4
Kings,Sunwolves,4,1
Bulls,Cheetahs,4,1
Brumbies,Chiefs,0,5
Blues,Jaguares,4,0
Lions,Crusaders,1,4
Highlanders,Force,4,0
Reds,Waratahs,1,4
Jaguares,Stormers,1,4
Sunwolves,Bulls,1,4
Rebels,Highlanders,0,5
Cheetahs,Brumbies,1,4
Sharks,Crusaders,1,4
Chiefs,Force,5,0
Hurricanes,Kings,5,0
Jaguares,Chiefs,1,4
Sunwolves,Rebels,0,5
Lions,Cheetahs,4,0
Stormers,Brumbies,4,0
Reds,Blues,2,2
Crusaders,Kings,5,0
Bulls,Sharks,2,2
Waratahs,Highlanders,1,4
Hurricanes,Force,5,0
Sunwolves,Cheetahs,1,4
Kings,Chiefs,0,5
Rebels,Reds,4,1
Stormers,Sharks,1,4
Highlanders,Lions,4,0
Force,Brumbies,0,4
Blues,Hurricanes,1,4
Cheetahs,Stormers,0,4
Sharks,Jaguares,4,1
Bulls,Rebels,4,0
Reds,Force,0,4
Highlanders,Hurricanes,4,1
Chiefs,Lions,1,4
Brumbies,Waratahs,4,0
Crusaders,Blues,4,0
Sunwolves,Lions,0,5
Kings,Sharks,0,5
Force,Rebels,1,4
Stormers,Bulls,5,0
Waratahs,Reds,5,0
Crusaders,Chiefs,1,4
Cheetahs,Jaguares,1,4
Brumbies,Hurricanes,5,0
Blues,Highlanders,4,1
